group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
throughput,tornado-warning-ground,,6490368,elements,49585350.0,ns,1
throughput,tornado-warning-ground,,6490368,elements,96301718.0,ns,2
throughput,tornado-warning-ground,,6490368,elements,142780537.0,ns,3
throughput,tornado-warning-ground,,6490368,elements,188234197.0,ns,4
throughput,tornado-warning-ground,,6490368,elements,242895586.0,ns,5
throughput,tornado-warning-ground,,6490368,elements,301306870.0,ns,6
throughput,tornado-warning-ground,,6490368,elements,339170914.0,ns,7
throughput,tornado-warning-ground,,6490368,elements,419634720.0,ns,8
throughput,tornado-warning-ground,,6490368,elements,462380118.0,ns,9
throughput,tornado-warning-ground,,6490368,elements,483803964.0,ns,10
throughput,tornado-warning-ground,,6490368,elements,565532308.0,ns,11
throughput,tornado-warning-ground,,6490368,elements,582753598.0,ns,12
throughput,tornado-warning-ground,,6490368,elements,622114074.0,ns,13
throughput,tornado-warning-ground,,6490368,elements,665564410.0,ns,14
throughput,tornado-warning-ground,,6490368,elements,708576413.0,ns,15
throughput,tornado-warning-ground,,6490368,elements,762527158.0,ns,16
throughput,tornado-warning-ground,,6490368,elements,871460268.0,ns,17
throughput,tornado-warning-ground,,6490368,elements,923839442.0,ns,18
throughput,tornado-warning-ground,,6490368,elements,908363328.0,ns,19
throughput,tornado-warning-ground,,6490368,elements,993528134.0,ns,20
throughput,tornado-warning-ground,,6490368,elements,1064622360.0,ns,21
throughput,tornado-warning-ground,,6490368,elements,1167337668.0,ns,22
throughput,tornado-warning-ground,,6490368,elements,1188342714.0,ns,23
throughput,tornado-warning-ground,,6490368,elements,1216981116.0,ns,24
throughput,tornado-warning-ground,,6490368,elements,1261573856.0,ns,25
throughput,tornado-warning-ground,,6490368,elements,1325397124.0,ns,26
throughput,tornado-warning-ground,,6490368,elements,1403242061.0,ns,27
throughput,tornado-warning-ground,,6490368,elements,1415264620.0,ns,28
throughput,tornado-warning-ground,,6490368,elements,1434202050.0,ns,29
throughput,tornado-warning-ground,,6490368,elements,1531206199.0,ns,30
throughput,tornado-warning-ground,,6490368,elements,1520172379.0,ns,31
throughput,tornado-warning-ground,,6490368,elements,1560150947.0,ns,32
throughput,tornado-warning-ground,,6490368,elements,1690408800.0,ns,33
throughput,tornado-warning-ground,,6490368,elements,1708736883.0,ns,34
throughput,tornado-warning-ground,,6490368,elements,1779277906.0,ns,35
throughput,tornado-warning-ground,,6490368,elements,1919345454.0,ns,36
throughput,tornado-warning-ground,,6490368,elements,2083172927.0,ns,37
throughput,tornado-warning-ground,,6490368,elements,2004318979.0,ns,38
throughput,tornado-warning-ground,,6490368,elements,2113829065.0,ns,39
throughput,tornado-warning-ground,,6490368,elements,2370795545.0,ns,40
throughput,tornado-warning-ground,,6490368,elements,3061615248.0,ns,41
throughput,tornado-warning-ground,,6490368,elements,2501399624.0,ns,42
throughput,tornado-warning-ground,,6490368,elements,2406784029.0,ns,43
throughput,tornado-warning-ground,,6490368,elements,2377336716.0,ns,44
throughput,tornado-warning-ground,,6490368,elements,2282788384.0,ns,45
throughput,tornado-warning-ground,,6490368,elements,2342966554.0,ns,46
throughput,tornado-warning-ground,,6490368,elements,2787307443.0,ns,47
throughput,tornado-warning-ground,,6490368,elements,2510135303.0,ns,48
throughput,tornado-warning-ground,,6490368,elements,2597282999.0,ns,49
throughput,tornado-warning-ground,,6490368,elements,2609984591.0,ns,50
throughput,tornado-warning-ground,,6490368,elements,2700490740.0,ns,51
throughput,tornado-warning-ground,,6490368,elements,2584909640.0,ns,52
throughput,tornado-warning-ground,,6490368,elements,3291761365.0,ns,53
throughput,tornado-warning-ground,,6490368,elements,3766267564.0,ns,54
throughput,tornado-warning-ground,,6490368,elements,3629004644.0,ns,55
throughput,tornado-warning-ground,,6490368,elements,3112969868.0,ns,56
throughput,tornado-warning-ground,,6490368,elements,3586756197.0,ns,57
throughput,tornado-warning-ground,,6490368,elements,4172554853.0,ns,58
throughput,tornado-warning-ground,,6490368,elements,3804688969.0,ns,59
throughput,tornado-warning-ground,,6490368,elements,3771606836.0,ns,60
throughput,tornado-warning-ground,,6490368,elements,3450786790.0,ns,61
throughput,tornado-warning-ground,,6490368,elements,3445089480.0,ns,62
throughput,tornado-warning-ground,,6490368,elements,3638784140.0,ns,63
throughput,tornado-warning-ground,,6490368,elements,3506325405.0,ns,64
throughput,tornado-warning-ground,,6490368,elements,3560349296.0,ns,65
throughput,tornado-warning-ground,,6490368,elements,3853573838.0,ns,66
throughput,tornado-warning-ground,,6490368,elements,3729084475.0,ns,67
throughput,tornado-warning-ground,,6490368,elements,3707914261.0,ns,68
throughput,tornado-warning-ground,,6490368,elements,3836291655.0,ns,69
throughput,tornado-warning-ground,,6490368,elements,3824692815.0,ns,70
throughput,tornado-warning-ground,,6490368,elements,3704287172.0,ns,71
throughput,tornado-warning-ground,,6490368,elements,3911689287.0,ns,72
throughput,tornado-warning-ground,,6490368,elements,3843432060.0,ns,73
throughput,tornado-warning-ground,,6490368,elements,3923676300.0,ns,74
throughput,tornado-warning-ground,,6490368,elements,4024812244.0,ns,75
throughput,tornado-warning-ground,,6490368,elements,4079937424.0,ns,76
