group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
throughput,KBDL-B17-Tribute-20191005,,2078784,elements,17205539.0,ns,1
throughput,KBDL-B17-Tribute-20191005,,2078784,elements,37026507.0,ns,2
throughput,KBDL-B17-Tribute-20191005,,2078784,elements,74253327.0,ns,3
throughput,KBDL-B17-Tribute-20191005,,2078784,elements,103944370.0,ns,4
throughput,KBDL-B17-Tribute-20191005,,2078784,elements,118274606.0,ns,5
throughput,KBDL-B17-Tribute-20191005,,2078784,elements,112651480.0,ns,6
throughput,KBDL-B17-Tribute-20191005,,2078784,elements,161751157.0,ns,7
throughput,KBDL-B17-Tribute-20191005,,2078784,elements,155129606.0,ns,8
throughput,KBDL-B17-Tribute-20191005,,2078784,elements,211169342.0,ns,9
throughput,KBDL-B17-Tribute-20191005,,2078784,elements,211377041.0,ns,10
throughput,KBDL-B17-Tribute-20191005,,2078784,elements,222335059.0,ns,11
throughput,KBDL-B17-Tribute-20191005,,2078784,elements,205625861.0,ns,12
throughput,KBDL-B17-Tribute-20191005,,2078784,elements,271633822.0,ns,13
throughput,KBDL-B17-Tribute-20191005,,2078784,elements,286720719.0,ns,14
throughput,KBDL-B17-Tribute-20191005,,2078784,elements,311621286.0,ns,15
throughput,KBDL-B17-Tribute-20191005,,2078784,elements,356162427.0,ns,16
throughput,KBDL-B17-Tribute-20191005,,2078784,elements,340686694.0,ns,17
throughput,KBDL-B17-Tribute-20191005,,2078784,elements,378052569.0,ns,18
throughput,KBDL-B17-Tribute-20191005,,2078784,elements,389499048.0,ns,19
throughput,KBDL-B17-Tribute-20191005,,2078784,elements,424335779.0,ns,20
throughput,KBDL-B17-Tribute-20191005,,2078784,elements,363691874.0,ns,21
throughput,KBDL-B17-Tribute-20191005,,2078784,elements,459338083.0,ns,22
throughput,KBDL-B17-Tribute-20191005,,2078784,elements,413552261.0,ns,23
throughput,KBDL-B17-Tribute-20191005,,2078784,elements,485587181.0,ns,24
throughput,KBDL-B17-Tribute-20191005,,2078784,elements,485244296.0,ns,25
throughput,KBDL-B17-Tribute-20191005,,2078784,elements,507570770.0,ns,26
throughput,KBDL-B17-Tribute-20191005,,2078784,elements,510697299.0,ns,27
throughput,KBDL-B17-Tribute-20191005,,2078784,elements,541206584.0,ns,28
throughput,KBDL-B17-Tribute-20191005,,2078784,elements,552687891.0,ns,29
throughput,KBDL-B17-Tribute-20191005,,2078784,elements,621448559.0,ns,30
throughput,KBDL-B17-Tribute-20191005,,2078784,elements,600522453.0,ns,31
throughput,KBDL-B17-Tribute-20191005,,2078784,elements,618383176.0,ns,32
throughput,KBDL-B17-Tribute-20191005,,2078784,elements,658192030.0,ns,33
throughput,KBDL-B17-Tribute-20191005,,2078784,elements,602570190.0,ns,34
throughput,KBDL-B17-Tribute-20191005,,2078784,elements,678066162.0,ns,35
throughput,KBDL-B17-Tribute-20191005,,2078784,elements,684040137.0,ns,36
throughput,KBDL-B17-Tribute-20191005,,2078784,elements,684737600.0,ns,37
throughput,KBDL-B17-Tribute-20191005,,2078784,elements,809896649.0,ns,38
throughput,KBDL-B17-Tribute-20191005,,2078784,elements,930810659.0,ns,39
throughput,KBDL-B17-Tribute-20191005,,2078784,elements,816045056.0,ns,40
throughput,KBDL-B17-Tribute-20191005,,2078784,elements,908869829.0,ns,41
