group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
throughput,N11379_KSCK,,3782977,elements,29534174.0,ns,1
throughput,N11379_KSCK,,3782977,elements,61905749.0,ns,2
throughput,N11379_KSCK,,3782977,elements,91007109.0,ns,3
throughput,N11379_KSCK,,3782977,elements,140137226.0,ns,4
throughput,N11379_KSCK,,3782977,elements,143380687.0,ns,5
throughput,N11379_KSCK,,3782977,elements,174129266.0,ns,6
throughput,N11379_KSCK,,3782977,elements,199764238.0,ns,7
throughput,N11379_KSCK,,3782977,elements,255377986.0,ns,8
throughput,N11379_KSCK,,3782977,elements,257894270.0,ns,9
throughput,N11379_KSCK,,3782977,elements,288744454.0,ns,10
throughput,N11379_KSCK,,3782977,elements,340506812.0,ns,11
throughput,N11379_KSCK,,3782977,elements,345379186.0,ns,12
throughput,N11379_KSCK,,3782977,elements,420175569.0,ns,13
throughput,N11379_KSCK,,3782977,elements,428520819.0,ns,14
throughput,N11379_KSCK,,3782977,elements,451363553.0,ns,15
throughput,N11379_KSCK,,3782977,elements,512641814.0,ns,16
throughput,N11379_KSCK,,3782977,elements,576078048.0,ns,17
throughput,N11379_KSCK,,3782977,elements,529755002.0,ns,18
throughput,N11379_KSCK,,3782977,elements,584354496.0,ns,19
throughput,N11379_KSCK,,3782977,elements,590309860.0,ns,20
throughput,N11379_KSCK,,3782977,elements,638621366.0,ns,21
throughput,N11379_KSCK,,3782977,elements,653060133.0,ns,22
throughput,N11379_KSCK,,3782977,elements,728099968.0,ns,23
throughput,N11379_KSCK,,3782977,elements,728797418.0,ns,24
throughput,N11379_KSCK,,3782977,elements,722862285.0,ns,25
throughput,N11379_KSCK,,3782977,elements,817642187.0,ns,26
throughput,N11379_KSCK,,3782977,elements,829665914.0,ns,27
throughput,N11379_KSCK,,3782977,elements,830373439.0,ns,28
throughput,N11379_KSCK,,3782977,elements,872914933.0,ns,29
throughput,N11379_KSCK,,3782977,elements,940573041.0,ns,30
throughput,N11379_KSCK,,3782977,elements,934303296.0,ns,31
throughput,N11379_KSCK,,3782977,elements,966207394.0,ns,32
throughput,N11379_KSCK,,3782977,elements,1012195068.0,ns,33
throughput,N11379_KSCK,,3782977,elements,996152810.0,ns,34
throughput,N11379_KSCK,,3782977,elements,1074366491.0,ns,35
throughput,N11379_KSCK,,3782977,elements,1104200592.0,ns,36
throughput,N11379_KSCK,,3782977,elements,1129877788.0,ns,37
throughput,N11379_KSCK,,3782977,elements,1173027679.0,ns,38
throughput,N11379_KSCK,,3782977,elements,1144901164.0,ns,39
throughput,N11379_KSCK,,3782977,elements,1200290178.0,ns,40
throughput,N11379_KSCK,,3782977,elements,1214963574.0,ns,41
throughput,N11379_KSCK,,3782977,elements,1284806478.0,ns,42
throughput,N11379_KSCK,,3782977,elements,1304025900.0,ns,43
throughput,N11379_KSCK,,3782977,elements,1373290863.0,ns,44
throughput,N11379_KSCK,,3782977,elements,1385854104.0,ns,45
throughput,N11379_KSCK,,3782977,elements,1438670289.0,ns,46
throughput,N11379_KSCK,,3782977,elements,1427272716.0,ns,47
throughput,N11379_KSCK,,3782977,elements,1468690021.0,ns,48
throughput,N11379_KSCK,,3782977,elements,1526262858.0,ns,49
throughput,N11379_KSCK,,3782977,elements,1492399915.0,ns,50
throughput,N11379_KSCK,,3782977,elements,1561962131.0,ns,51
throughput,N11379_KSCK,,3782977,elements,1588179671.0,ns,52
throughput,N11379_KSCK,,3782977,elements,1617962168.0,ns,53
throughput,N11379_KSCK,,3782977,elements,1637038559.0,ns,54
throughput,N11379_KSCK,,3782977,elements,1676268258.0,ns,55
throughput,N11379_KSCK,,3782977,elements,1704534405.0,ns,56
throughput,N11379_KSCK,,3782977,elements,1811545713.0,ns,57
throughput,N11379_KSCK,,3782977,elements,1754125097.0,ns,58
throughput,N11379_KSCK,,3782977,elements,1758396824.0,ns,59
throughput,N11379_KSCK,,3782977,elements,1848602091.0,ns,60
throughput,N11379_KSCK,,3782977,elements,1871787555.0,ns,61
throughput,N11379_KSCK,,3782977,elements,1849972356.0,ns,62
throughput,N11379_KSCK,,3782977,elements,1930122526.0,ns,63
throughput,N11379_KSCK,,3782977,elements,1925178709.0,ns,64
throughput,N11379_KSCK,,3782977,elements,1993875788.0,ns,65
throughput,N11379_KSCK,,3782977,elements,1997951260.0,ns,66
throughput,N11379_KSCK,,3782977,elements,2033132603.0,ns,67
throughput,N11379_KSCK,,3782977,elements,2018794428.0,ns,68
throughput,N11379_KSCK,,3782977,elements,2054576177.0,ns,69
throughput,N11379_KSCK,,3782977,elements,2171521211.0,ns,70
throughput,N11379_KSCK,,3782977,elements,2157997690.0,ns,71
throughput,N11379_KSCK,,3782977,elements,2158699601.0,ns,72
throughput,N11379_KSCK,,3782977,elements,2193779762.0,ns,73
throughput,N11379_KSCK,,3782977,elements,2255711980.0,ns,74
throughput,N11379_KSCK,,3782977,elements,2215654090.0,ns,75
throughput,N11379_KSCK,,3782977,elements,2245579807.0,ns,76
throughput,N11379_KSCK,,3782977,elements,2351588858.0,ns,77
throughput,N11379_KSCK,,3782977,elements,2397301225.0,ns,78
throughput,N11379_KSCK,,3782977,elements,2414875110.0,ns,79
throughput,N11379_KSCK,,3782977,elements,2483191373.0,ns,80
throughput,N11379_KSCK,,3782977,elements,2467234554.0,ns,81
throughput,N11379_KSCK,,3782977,elements,2596134384.0,ns,82
throughput,N11379_KSCK,,3782977,elements,2583284112.0,ns,83
throughput,N11379_KSCK,,3782977,elements,2642137212.0,ns,84
throughput,N11379_KSCK,,3782977,elements,2659956673.0,ns,85
throughput,N11379_KSCK,,3782977,elements,2737145299.0,ns,86
throughput,N11379_KSCK,,3782977,elements,2686037366.0,ns,87
throughput,N11379_KSCK,,3782977,elements,2661110216.0,ns,88
throughput,N11379_KSCK,,3782977,elements,2778634895.0,ns,89
throughput,N11379_KSCK,,3782977,elements,2720992717.0,ns,90
throughput,N11379_KSCK,,3782977,elements,2725915743.0,ns,91
throughput,N11379_KSCK,,3782977,elements,2845742032.0,ns,92
throughput,N11379_KSCK,,3782977,elements,2786901232.0,ns,93
throughput,N11379_KSCK,,3782977,elements,2804154438.0,ns,94
throughput,N11379_KSCK,,3782977,elements,2853639154.0,ns,95
throughput,N11379_KSCK,,3782977,elements,2860678244.0,ns,96
throughput,N11379_KSCK,,3782977,elements,2847616801.0,ns,97
throughput,N11379_KSCK,,3782977,elements,2996154253.0,ns,98
throughput,N11379_KSCK,,3782977,elements,3014184327.0,ns,99
throughput,N11379_KSCK,,3782977,elements,3748554627.0,ns,100
